source_device,tweet_language,avg_favorites,avg_hashtag_count
"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>",es,0.2727272727272727,0.6363636363636364
"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",zh,0.25,0.75
"<a href=\"https://www.blog2social.com\" rel=\"nofollow\">Blog2Social APP</a>",pt,0.25,1.75
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",ja,0.2026578073089701,0.23588039867109634
"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",und,0.2,0.28
"<a href=\"https://www.blog2social.com\" rel=\"nofollow\">Blog2Social APP</a>",it,0.2,1.0
"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",de,0.1951219512195122,0.21951219512195122
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",nl,0.17894736842105263,0.08421052631578947
"<a href=\"https://hackernoon.com\" rel=\"nofollow\">HN_Comments</a>",en,0.16666666666666666,1.0
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",th,0.13953488372093023,0.4883720930232558
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",th,0.1,0.36666666666666664
"<a href=\"https://www.blog2social.com\" rel=\"nofollow\">Blog2Social APP</a>",en,0.1,0.8
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",ht,0.1,1.8
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",ru,0.1,0.3
"<a href=\"http://www.hubspot.com/\" rel=\"nofollow\">HubSpot</a>",en,0.09090909090909091,1.0909090909090908
"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>",in,0.08333333333333333,1.4166666666666667
"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>",in,0.07692307692307693,2.4615384615384617
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",zh,0.07462686567164178,1.5223880597014925
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",tl,0.07142857142857142,0.21428571428571427
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",ca,0.06666666666666667,1.0666666666666667
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",pl,0.06451612903225806,0.16129032258064516
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",in,0.05263157894736842,0.6052631578947368
"<a href=\"https://kojospace.com/\" rel=\"nofollow\">coronaData_Test</a>",en,0.0,3.0
"<a href=\"http://www.miragenews.com\" rel=\"nofollow\">Mirage News Posts</a>",en,0.0,1.0
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">Petrustuits</a>",es,0.0,1.0
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",hi,0.0,3.6666666666666665
"<a href=\"https://cloudcampaign.io/\" rel=\"nofollow\">Cloud Campaign</a>",en,0.0,6.5
"<a href=\"http://xeva.com.mx/\" rel=\"nofollow\">xeva</a>",es,0.0,1.0
"<a href=\"https://revive.social/\" rel=\"nofollow\">Revive Social App</a>",en,0.0,1.125
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",zh,0.0,0.7407407407407407
"<a href=\"https://twitter.com\" rel=\"nofollow\">TweetDeck Web App</a>",es,0.0,1.0
"<a href=\"https://www.townnews.com/\" rel=\"nofollow\">BLOX CMS</a>",en,0.0,0.125
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">corona.nrw</a>",de,0.0,8.0
"<a href=\"https://torch1.com\" rel=\"nofollow\">Torch1</a>",en,0.0,5.0
"<a href=\"https://www.blog2social.com\" rel=\"nofollow\">Blog2Social APP</a>",es,0.0,0.3333333333333333
"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>",es,0.0,0.7333333333333333
"<a href=\"https://zapier.com/\" rel=\"nofollow\">Zapier.com</a>",es,0.0,2.0
"<a href=\"https://socialbee.io/\" rel=\"nofollow\">SocialBee.io v2</a>",en,0.0,2.0
"<a href=\"http://blog.seesaa.jp/\" rel=\"nofollow\">SeesaaBlog</a>",ja,0.0,3.0
"<a href=\"http://www.powerapps.com\" rel=\"nofollow\">Microsoft Power Platform</a>",en,0.0,1.25
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",uk,0.0,1.0
"<a href=\"http://postplanner.com\" rel=\"nofollow\">Post Planner LLC</a>",en,0.0,7.0
"<a href=\"https://pastexpiry.blogspot.com\" rel=\"nofollow\">PEtwitpix</a>",en,0.0,2.0
"<a href=\"https://coschedule.com\" rel=\"nofollow\">CoSchedule</a>",fr,0.0,4.0
"<a href=\"https://my.arturin.com\" rel=\"nofollow\">Artur'In</a>",fr,0.0,1.625
"<a href=\"https://www.tweetomizer.com\" rel=\"nofollow\">tweetomizer.com</a>",en,0.0,4.0
"<a href=\"https://twitter.com\" rel=\"nofollow\">TweetDeck Web App</a>",it,0.0,0.6666666666666666
"<a href=\"https://example.com\" rel=\"nofollow\">find_nakata</a>",ja,0.0,1.5
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",ht,0.0,2.0
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",te,0.0,4.0
"<a href=\"http://moqilmoqil.info\" rel=\"nofollow\">moqil moqil</a>",en,0.0,5.0
"<a href=\"https://hopscotch.social/\" rel=\"nofollow\">Hopscotch Social</a>",en,0.0,2.0
