source,tweet_count
"<a href=\"https://stireazilei.co.uk/\" rel=\"nofollow\">StireaZileiUK</a>",1
"<a href=\"https://dashboard.heropost.io/\" rel=\"nofollow\">Heropost</a>",1
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">IndiaNewsStreamAppNew</a>",1
"<a href=\"https://greatlysocial.com\" rel=\"nofollow\">Greatly Social Twitter</a>",1
"<a href=\"https://follow.it\" rel=\"nofollow\">follow.it</a>",1
"<a href=\"https://knife.media\" rel=\"nofollow\">knife-posting</a>",1
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">https://speedynews.gr</a>",1
"<a href=\"https://dashhudson.com\" rel=\"nofollow\">Dash Hudson</a>",1
"<a href=\"https://www.kpaudel.com\" rel=\"nofollow\">corona-tracker-app</a>",1
"<a href=\"http://www.alcontacto.com.mx\" rel=\"nofollow\">AlContacto</a>",1
"<a href=\"http://www.mmslab.jp/\" rel=\"nofollow\">ElekiTanBot1</a>",1
"<a href=\"https://example.org\" rel=\"nofollow\">JayJayBot 5000</a>",1
"<a href=\"http://www.flightrefunds.org.uk\" rel=\"nofollow\">1fr</a>",1
"<a href=\"https://www.translated.com\" rel=\"nofollow\">Imminent News</a>",1
"<a href=\"https://blogsterapp.com\" rel=\"nofollow\">BlogsterApp</a>",1
"<a href=\"https://www.gatra.com/\" rel=\"nofollow\">GATRA.com</a>",1
"<a href=\"https://hindi.dynamitenews.com\" rel=\"nofollow\">Dynamite News Hindi</a>",1
"<a href=\"https://workshop.pimpmy.social\" rel=\"nofollow\">PimpMySocial Workshop</a>",1
"<a href=\"http://www.europapress.es/euskera/\" rel=\"nofollow\">Editor twitter euskera</a>",1
"<a href=\"http://www.rietilife.com\" rel=\"nofollow\">NextScript Rietilife</a>",1
"<a href=\"http://www.lametino.it\" rel=\"nofollow\">IlLametino</a>",1
"<a href=\"https://www.alinea.id\" rel=\"nofollow\">Alinea.id</a>",1
"<a href=\"https://www.ayrshare.com\" rel=\"nofollow\">Ayrshare</a>",1
"<a href=\"http://www.masantefacile.com\" rel=\"nofollow\">Masantefacile</a>",1
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">CovidBesmettingen</a>",1
"<a href=\"https://app.italynowadays.it/\" rel=\"nofollow\">Italy Nowadays</a>",1
"<a href=\"https://twitter.com/i/events/1456416669014790155\" rel=\"nofollow\">adesignerWORKS</a>",1
"<a href=\"https://www.myjournals.org\" rel=\"nofollow\">MyJournals.org</a>",1
"<a href=\"https://imminent.translated.com/\" rel=\"nofollow\">Imminent Weltweite Nachrichten</a>",1
"<a href=\"https://www.bookclubpro.com/\" rel=\"nofollow\">BookzoidBooks</a>",1
"<a href=\"https://cherumbu.com/\" rel=\"nofollow\">Cherumbu News</a>",1
"<a href=\"https://smmbox.com\" rel=\"nofollow\">SmmBox</a>",1
